Station name,Type,Installed capacity
Arecleoch,Wind Onshore,120
Beatrice Offshore windfarm,Wind Offshore,588
Beinneun Wind Farm Limited ,Wind Onshore,108.8
Bhlaraidh Wind Farm,Wind Onshore,110.4
Black Law I,Wind Onshore,124.2
Burbo Extension ,Wind Offshore,259
Carrington Power,Natural Gas,910
Clyde Windfarm (Central),Wind Onshore,195.9
Connahs Quay,Natural Gas,1380
Corby Power Station,Natural Gas,407
Coryton Energy Company,Natural Gas,800
Cottam Development Centre,Natural Gas,445
Cowes,Diesel/Gas Oil,140
Cruachan,Pumped hydro,440
Crystal Rig II,Wind Onshore,138
Damhead,Natural Gas,805
Didcot B,Natural Gas,1450
Didcot GT,Diesel/Gas Oil,100
Dinorwig,Pumped hydro,1800
Dorenell,Wind Onshore,177
Drax Power Station Biomass Units,Biomass,2640
Dudgeon,Wind Offshore,300
East Anglia One,Wind Offshore,714
Enfield,Natural Gas,408
EP Langage Ltd,Natural Gas,905
EP SHB Ltd,Natural Gas,1365
Fallago Rig,Wind Onshore,144
Fellside CHP*,Natural Gas,155
Ffestiniog,Pumped hydro,360
Foyers Pumped Storage,Pumped hydro,300
Galloper,Wind Offshore,352.8
Glendoe Hydro Power Station,Hydro Natural Flow,100
Grain CHP*,Natural Gas,1517
Great Yarmouth,Natural Gas,420
Greater Gabbard,Wind Offshore,504
Griffin Wind Farm,Wind Onshore,188.6
Gunfleet Sands 1 & 2 Ltd.,Wind Offshore,172.8
Gwynt y Mor,Wind Offshore,576
"Hadyard Hill Windfarm - A,C",Wind Onshore,119.8
Harestanes,Wind Onshore,136
Hartlepool,Nuclear AGR,1185
Heysham 1,Nuclear AGR,1060
Hinkley Point B,Nuclear AGR,965
Hornsea 1,Wind Offshore,1218
Humber Gateway,Wind Offshore,219
Hunterston B,Nuclear AGR,985
Indian Queens Power Ltd,Diesel/Gas Oil,140
Keadby,Natural Gas,735
Kilgallioch,Wind Onshore,239
Killingholme,Natural Gas,600
Kings Lynn,Natural Gas,395
Lincs,Wind Offshore,270
Little Barford,Natural Gas,723
London Array,Wind Offshore,630
Lynemouth Power Limited,Biomass,420
Marchwood Power,Natural Gas,898
Medway,Natural Gas,755
Ormonde,Wind Offshore,150
Pembroke,Natural Gas,2199
Pen Y Cymoedd,Wind Onshore,228
Peterborough,Natural Gas,360
Peterhead,Natural Gas,1180
Race Bank,Wind Offshore,573
Rampion,Wind Offshore,400.2
Ratcliffe (Steam),Coal,2021
Rocksavage,Natural Gas,810
Ryehouse,Natural Gas,715
Saltend*,Natural Gas,1200
Seabank,Natural Gas,1234
Sheringham Shoal,Wind Offshore,300
Shoreham,Natural Gas,420
Sizewell B,Nuclear PWR,1198
Sloy,Hydro Natural Flow,152.5
Spalding,Natural Gas,950
Staythorpe C,Natural Gas,1772
Stronelairg Wind Farm,Wind Onshore,227.7
Taylors Lane ,Diesel/Gas Oil,144
Thanet ,Wind Offshore,300
Torness,Nuclear AGR,1200
VPI Immingham*,Natural Gas,1252
Walney,Wind Offshore,368
West Burton,Coal,2000
West Burton CCGT,Natural Gas,1332
West of Duddon Sands,Wind Offshore,389
Westermost Rough,Wind Offshore,210
Whitelee,Wind Onshore,322
Whitelee II,Wind Onshore,217.02
Wilton GT*,Natural Gas,120
